epoch,loss,mse,psnr,ssim,mae,edge,sparsity,scale_reg,n_visible
1,0.1598728474817778,0.1084537163768944,15.947584915161134,0.746583860798886,0.053487792532694964,0.006016576589134179,0.0,0.0001342441126900284,9999.78947368421
2,0.15822222813179618,0.10807688157809409,15.964540330987228,0.7529749424834,0.053182964870019965,0.005996403791696617,0.0,0.0001406927317331888,9999.78947368421
3,0.15662036098931964,0.10771243246762376,15.9829043037013,0.7591922402381897,0.052868007339145005,0.00598177012595299,0.0,0.00014819865203830168,9999.831578947369
4,0.15486152030919728,0.10730449490641293,16.003795553508557,0.7659829390676398,0.0525096772728782,0.005970288193049399,0.0,0.00015658354984081693,9999.831578947369
5,0.152896569826101,0.1068519792274425,16.027813780935187,0.7735864093429163,0.05210055599087163,0.00595908557604018,0.0,0.00016596241146448607,9999.831578947369
6,0.1506247939247834,0.10632564782312041,16.056230976707056,0.782359266281128,0.051610787604984484,0.005946953484396401,0.0,0.00017630339976963831,9999.863157894737
7,0.14796871244907378,0.10568870345228597,16.089416222823292,0.7925042139856439,0.05101990360570581,0.005934222701838927,0.0,0.00018742903301149214,9999.915789473684
8,0.14495969846060403,0.10495243382297065,16.129037074038855,0.8039215263567473,0.05032614404825788,0.005920768997288849,0.0,0.00019949111554428542,9999.926315789473
9,0.1415164725560891,0.10405501805638012,16.176616146689966,0.8167081324677719,0.04950522360833068,0.005906030910677816,0.0,0.00021247707144969976,9999.947368421053
10,0.13781406236322302,0.10295996195391605,16.233618154023823,0.8298063667196977,0.048567276761720055,0.0058900680662573954,0.0,0.00022636686963347816,9999.957894736843
11,0.13389182475052383,0.10162273574816554,16.30320880287572,0.8427963037239877,0.047481689719777356,0.005872188981524424,0.0,0.0002411296848501814,10000.0
12,0.129657780182989,0.09996592939684265,16.38938139865273,0.8557496089684336,0.04619386131434064,0.005851029658592061,0.0,0.0002566690130870005,10000.0
13,0.1250068599456235,0.09783157063157935,16.497781372070314,0.8684011164464449,0.04466372408757084,0.005827629174056806,0.0,0.00027275116973262477,9999.978947368421
14,0.12000458593431272,0.09513551843793769,16.63707166972913,0.8800005235170063,0.04289962153293585,0.005799499176148522,0.0,0.0002892214232001846,10000.0
15,0.11443799612553496,0.09162061665403215,16.81745648635061,0.8903245122809159,0.04083464261340468,0.0057656357187385624,0.0,0.0003057183370018672,10000.0
16,0.10823123376620443,0.0871424911445693,17.05356123070968,0.899027871458154,0.03858464438664286,0.005722616642321411,0.0,0.0003220543583953067,10000.0
17,0.10116647893660947,0.08153256130845923,17.36832305506656,0.9063523888587952,0.03619357735702866,0.005666749544539734,0.0,0.0003377201403246114,10000.0
18,0.09268116625516039,0.07441891110257098,17.781188141672235,0.9132491507028279,0.03350375004504856,0.005597277206221694,0.0,0.00035235738890294574,10000.0
